match_date,home_team,match_score,away_team
20-11-2021,Newcastle,3 - 3,Brentford
27-11-2021,Arsenal,2 - 0,Newcastle
30-11-2021,Newcastle,1 - 1,Norwich
04-12-2021,Newcastle,1 - 0,Burnley
12-12-2021,Leicester,4 - 0,Newcastle
16-12-2021,Liverpool,3 - 1,Newcastle
19-12-2021,Newcastle,0 - 4,Man City
27-12-2021,Newcastle,1 - 1,Man United
15-01-2022,Newcastle,1 - 1,Watford
22-01-2022,Leeds,0 - 1,Newcastle
08-02-2022,Newcastle,3 - 1,Everton
13-02-2022,Newcastle,1 - 0,Aston Villa
19-02-2022,West Ham,1 - 1,Newcastle
26-02-2022,Brentford,0 - 2,Newcastle
05-03-2022,Newcastle,2 - 1,Brighton
10-03-2022,Southampton,1 - 2,Newcastle
13-03-2022,Chelsea,1 - 0,Newcastle
17-03-2022,Everton,1 - 0,Newcastle
03-04-2022,Tottenham,5 - 1,Newcastle
08-04-2022,Newcastle,1 - 0,Wolves
17-04-2022,Newcastle,2 - 1,Leicester
20-04-2022,Newcastle,1 - 0,Crystal Palace
23-04-2022,Norwich,0 - 3,Newcastle
30-04-2022,Newcastle,0 - 1,Liverpool
08-05-2022,Man City,5 - 0,Newcastle
16-05-2022,Newcastle,2 - 0,Arsenal
22-05-2022,Burnley,1 - 2,Newcastle
14-08-2021,Norwich,0 - 3,Liverpool
21-08-2021,Man City,5 - 0,Norwich
28-08-2021,Norwich,1 - 2,Leicester
11-09-2021,Arsenal,1 - 0,Norwich
18-09-2021,Norwich,1 - 3,Watford
25-09-2021,Everton,2 - 0,Norwich
02-10-2021,Burnley,0 - 0,Norwich
16-10-2021,Norwich,0 - 0,Brighton
23-10-2021,Chelsea,7 - 0,Norwich
31-10-2021,Norwich,1 - 2,Leeds
06-11-2021,Brentford,1 - 2,Norwich
20-11-2021,Norwich,2 - 1,Southampton
27-11-2021,Norwich,0 - 0,Wolves
30-11-2021,Newcastle,1 - 1,Norwich
05-12-2021,Tottenham,3 - 0,Norwich
11-12-2021,Norwich,0 - 1,Man United
14-12-2021,Norwich,0 - 2,Aston Villa
26-12-2021,Norwich,0 - 5,Arsenal
28-12-2021,Crystal Palace,3 - 0,Norwich
12-01-2022,West Ham,2 - 0,Norwich
15-01-2022,Norwich,2 - 1,Everton
21-01-2022,Watford,0 - 3,Norwich
09-02-2022,Norwich,1 - 1,Crystal Palace
12-02-2022,Norwich,0 - 4,Man City
19-02-2022,Liverpool,3 - 1,Norwich
25-02-2022,Southampton,2 - 0,Norwich
05-03-2022,Norwich,1 - 3,Brentford
10-03-2022,Norwich,1 - 3,Chelsea
13-03-2022,Leeds,2 - 1,Norwich
02-04-2022,Brighton,0 - 0,Norwich
10-04-2022,Norwich,2 - 0,Burnley
16-04-2022,Man United,3 - 2,Norwich
23-04-2022,Norwich,0 - 3,Newcastle
30-04-2022,Aston Villa,2 - 0,Norwich
08-05-2022,Norwich,0 - 4,West Ham
11-05-2022,Leicester,3 - 0,Norwich
15-05-2022,Wolves,1 - 1,Norwich
22-05-2022,Norwich,0 - 5,Tottenham
14-08-2021,Everton,3 - 1,Southampton
22-08-2021,Southampton,1 - 1,Man United
28-08-2021,Newcastle,2 - 2,Southampton
11-09-2021,Southampton,0 - 0,West Ham
18-09-2021,Man City,0 - 0,Southampton
26-09-2021,Southampton,0 - 1,Wolves
02-10-2021,Chelsea,3 - 1,Southampton
16-10-2021,Southampton,1 - 0,Leeds
23-10-2021,Southampton,2 - 2,Burnley
30-10-2021,Watford,0 - 1,Southampton
05-11-2021,Southampton,1 - 0,Aston Villa
20-11-2021,Norwich,2 - 1,Southampton
27-11-2021,Liverpool,4 - 0,Southampton
01-12-2021,Southampton,2 - 2,Leicester
04-12-2021,Southampton,1 - 1,Brighton
11-12-2021,Arsenal,3 - 0,Southampton
15-12-2021,Crystal Palace,2 - 2,Southampton
